Date,Blockchain Size
2015-09-26,45973598662
2015-09-27,46038828694
2015-09-28,46104649974
2015-09-29,46176788225
2015-09-30,46258100258
2015-10-01,46334934975
2015-10-02,46403589998
2015-10-03,46477054967
2015-10-04,46531938504
2015-10-05,46588476941
2015-10-06,46655103761
2015-10-07,46732489775
2015-10-08,46825394259
2015-10-09,46913227908
2015-10-10,46991718238
2015-10-11,47091287842
2015-10-12,47170434283
2015-10-13,47252653879
2015-10-14,47327903528
2015-10-15,47409246762
2015-10-16,47497210933
2015-10-17,47581805752
2015-10-18,47664614587
2015-10-19,47739857094
2015-10-20,47824219182
2015-10-21,47914131901
2015-10-22,47993417121
2015-10-23,48076242842
2015-10-24,48156746811
2015-10-25,48234850018
2015-10-26,48315832538
2015-10-27,48393470087
2015-10-28,48473506136
2015-10-29,48556556179
2015-10-30,48646205889
2015-10-31,48733079747
2015-11-01,48812974979
2015-11-02,48896047798
2015-11-03,48993371149
2015-11-04,49099531313
2015-11-05,49221533868
2015-11-06,49327565691
2015-11-07,49422000245
2015-11-08,49503250631
2015-11-09,49580838466
2015-11-10,49672320268
2015-11-11,49760512415
2015-11-12,49849390414
2015-11-13,49934621411
2015-11-14,50013363603
2015-11-15,50089834074
2015-11-16,50168165550
2015-11-17,50259055175
2015-11-18,50344306027
2015-11-19,50435237500
2015-11-20,50515718184
2015-11-21,50601020301
2015-11-22,50681599968
2015-11-23,50757474368
2015-11-24,50841772842
2015-11-25,50924064001
2015-11-26,51007235486
2015-11-27,51101222477
2015-11-28,51187633550
2015-11-29,51272305793
2015-11-30,51341180537
2015-12-01,51449454737
2015-12-02,51544554377
2015-12-03,51649865234
2015-12-04,51740154613
2015-12-05,51829613014
2015-12-06,51930846663
2015-12-07,52024815110
2015-12-08,52126987510
2015-12-09,52235423839
2015-12-10,52351045624
2015-12-11,52464641164
2015-12-12,52568759430
2015-12-13,52679122935
2015-12-14,52777848916
2015-12-15,52899324804
2015-12-16,53013505566
2015-12-17,53124432907
2015-12-18,53228520762
2015-12-19,53333006447
2015-12-20,53433263979
2015-12-21,53534435845
2015-12-22,53649448500
2015-12-23,53760591079
2015-12-24,53868547967
2015-12-25,53969977063
2015-12-26,54052999129
2015-12-27,54145412415
2015-12-28,54237565606
2015-12-29,54337876011
2015-12-30,54436626871
2015-12-31,54527618105
2016-01-01,54606131624
2016-01-02,54672676478
2016-01-03,54756244267
2016-01-04,54838285522
2016-01-05,54937958402
2016-01-06,55038603108
2016-01-07,55132927536
2016-01-08,55237505761
2016-01-09,55336577898
2016-01-10,55435630998
2016-01-11,55525116825
2016-01-12,55637572054
2016-01-13,55740974945
2016-01-14,55841808003
2016-01-15,55937097071
2016-01-16,56031385259
2016-01-17,56139480009
2016-01-18,56250841243
2016-01-19,56366565062
2016-01-20,56470218966
2016-01-21,56601408520
2016-01-22,56716049898
2016-01-23,56832650030
2016-01-24,56933304359
2016-01-25,57040674401
2016-01-26,57158492609
2016-01-27,57277406367
2016-01-28,57391808506
2016-01-29,57507801932
2016-01-30,57623957480
2016-01-31,57729317553
2016-02-01,57830882973
2016-02-02,57956828211
2016-02-03,58100112369
2016-02-04,58214543259
2016-02-05,58325043876
2016-02-06,58446789940
2016-02-07,58568829070
2016-02-08,58691415919
2016-02-09,58813224443
2016-02-10,58936976020
2016-02-11,59056267485
2016-02-12,59179352673
2016-02-13,59283834273
2016-02-14,59382461950
2016-02-15,59487713369
2016-02-16,59603130408
2016-02-17,59707921721
2016-02-18,59827608812
2016-02-19,59937618245
2016-02-20,60049655839
2016-02-21,60159335190
2016-02-22,60268994143
2016-02-23,60383002979
2016-02-24,60503221819
2016-02-25,60611505904
2016-02-26,60735377672
2016-02-27,60842448388
2016-02-28,60939110860
2016-02-29,61045502448
2016-03-01,61166958605
2016-03-02,61294637388
2016-03-03,61434913318
2016-03-04,61560465152
2016-03-05,61680786047
2016-03-06,61798083831
2016-03-07,61889965480
2016-03-08,61986549289
2016-03-09,62089837932
2016-03-10,62213078176
2016-03-11,62319741923
2016-03-12,62419387529
2016-03-13,62502189741
2016-03-14,62585894204
2016-03-15,62695329085
2016-03-16,62802379576
2016-03-17,62904814500
2016-03-18,63010640582
2016-03-19,63109326458
2016-03-20,63198039351
2016-03-21,63294220852
2016-03-22,63398188849
2016-03-23,63503341137
2016-03-24,63605247894
2016-03-25,63704030245
2016-03-26,63794270740
2016-03-27,63891894082
2016-03-28,63978519901
2016-03-29,64094462558
2016-03-30,64227019606
2016-03-31,64336532822
2016-04-01,64442095338
2016-04-02,64557586632
2016-04-03,64670789217
2016-04-04,64771586294
