Date,Velocity - Quarterly
2011-08-16,17.7325
2011-08-17,17.7335
2011-08-18,17.7377
2011-08-19,17.7268
2011-08-20,17.6972
2011-08-21,17.5858
2011-08-22,17.5346
2011-08-23,17.5027
2011-08-24,17.4914
2011-08-25,17.4963
2011-08-26,17.4569
2011-08-27,17.4466
2011-08-28,17.7737
2011-08-29,17.7463
2011-08-30,17.7252
2011-08-31,17.7011
2011-09-01,17.6692
2011-09-02,17.6134
2011-09-03,17.5629
2011-09-04,17.4999
2011-09-05,17.6124
2011-09-06,17.8382
2011-09-07,18.1542
2011-09-08,18.1025
2011-09-09,18.0121
2011-09-10,17.8432
2011-09-11,17.61
2011-09-12,17.5638
2011-09-13,17.418
2011-09-14,16.8304
2011-09-15,15.689
2011-09-16,15.4952
2011-09-17,15.4047
2011-09-18,14.8101
2011-09-19,14.6537
2011-09-20,14.2264
2011-09-21,14.0813
2011-09-22,13.9009
2011-09-23,13.2746
2011-09-24,11.83
2011-09-25,11.3107
2011-09-26,11.0645
2011-09-27,10.1151
2011-09-28,9.85578
2011-09-29,9.68854
2011-09-30,9.57249
2011-10-01,9.48586
2011-10-02,9.46269
2011-10-03,9.31389
2011-10-04,9.30486
2011-10-05,9.2751
2011-10-06,9.25702
2011-10-07,9.27937
2011-10-08,9.04271
2011-10-09,8.74594
2011-10-10,8.64544
2011-10-11,8.53569
2011-10-12,8.382
2011-10-13,8.1596
2011-10-14,8.11166
2011-10-15,7.98645
2011-10-16,7.94234
2011-10-17,7.52898
2011-10-18,7.22351
2011-10-19,7.19011
2011-10-20,7.04666
2011-10-21,6.87482
2011-10-22,6.85556
2011-10-23,6.86555
2011-10-24,6.7414
2011-10-25,6.62635
2011-10-26,6.5003
2011-10-27,6.10365
2011-10-28,6.08459
2011-10-29,6.08581
2011-10-30,6.06005
2011-10-31,6.00821
2011-11-01,6.00921
2011-11-02,6.01084
2011-11-03,6.02278
2011-11-04,5.99231
2011-11-05,5.98811
2011-11-06,5.97382
2011-11-07,5.83427
2011-11-08,5.56332
2011-11-09,5.56264
2011-11-10,5.61722
2011-11-11,5.61267
2011-11-12,5.59452
2011-11-13,5.57275
2011-11-14,5.55555
2011-11-15,5.55206
2011-11-16,5.55204
2011-11-17,5.75996
2011-11-18,6.17634
2011-11-19,6.73486
2011-11-20,7.23074
2011-11-21,7.38781
2011-11-22,7.60853
2011-11-23,7.92858
2011-11-24,8.07412
2011-11-25,8.23427
2011-11-26,8.01046
2011-11-27,8.18758
2011-11-28,8.38172
2011-11-29,8.86164
2011-11-30,9.3288
2011-12-01,10.1812
2011-12-02,10.3551
2011-12-03,11.0717
2011-12-04,11.2837
2011-12-05,11.2985
2011-12-06,11.2577
2011-12-07,12.114
2011-12-08,12.7706
2011-12-09,13.2933
2011-12-10,13.4483
2011-12-11,13.451
2011-12-12,13.4653
2011-12-13,13.5021
2011-12-14,13.4965
