Date,Money Supply
2011-10-21,7502950
2011-10-22,7509000
2011-10-23,7513900
2011-10-24,7519300
2011-10-25,7525650
2011-10-26,7532100
2011-10-27,7537950
2011-10-28,7542950
2011-10-29,7548200
2011-10-30,7553850
2011-10-31,7559400
2011-11-01,7565950
2011-11-02,7573450
2011-11-03,7581150
2011-11-04,7587400
2011-11-05,7594750
2011-11-06,7602050
2011-11-07,7609250
2011-11-08,7615850
2011-11-09,7623300
2011-11-10,7631350
2011-11-11,7638400
2011-11-12,7644350
2011-11-13,7651500
2011-11-14,7658700
2011-11-15,7665850
2011-11-16,7674100
2011-11-17,7680850
2011-11-18,7687800
2011-11-19,7694450
2011-11-20,7700600
2011-11-21,7707750
2011-11-22,7713650
2011-11-23,7720650
2011-11-24,7727350
2011-11-25,7733000
2011-11-26,7739750
2011-11-27,7745750
2011-11-28,7751450
2011-11-29,7757800
2011-11-30,7764700
2011-12-01,7772800
2011-12-02,7781900
2011-12-03,7789200
2011-12-04,7796800
2011-12-05,7803600
2011-12-06,7811500
2011-12-07,7820050
2011-12-08,7826950
2011-12-09,7835150
2011-12-10,7842500
2011-12-11,7849700
2011-12-12,7857300
2011-12-13,7863650
2011-12-14,7870250
2011-12-15,7877900
2011-12-16,7883500
2011-12-17,7889400
2011-12-18,7896900
2011-12-19,7904100
2011-12-20,7912050
2011-12-21,7918750
2011-12-22,7926200
2011-12-23,7933600
2011-12-24,7940700
2011-12-25,7947950
2011-12-26,7956650
2011-12-27,7965500
2011-12-28,7972750
2011-12-29,7980500
2011-12-30,7987400
2011-12-31,7994500
2012-01-01,8002050
2012-01-02,8009700
2012-01-03,8017250
2012-01-04,8025200
2012-01-05,8032650
2012-01-06,8040000
2012-01-07,8048550
2012-01-08,8057750
2012-01-09,8065900
2012-01-10,8074100
2012-01-11,8081150
2012-01-12,8088800
2012-01-13,8096550
2012-01-14,8103550
2012-01-15,8111050
2012-01-16,8118000
2012-01-17,8126750
2012-01-18,8134600
2012-01-19,8141000
2012-01-20,8148500
2012-01-21,8155800
2012-01-22,8163950
2012-01-23,8170750
2012-01-24,8179250
2012-01-25,8186200
2012-01-26,8193600
2012-01-27,8200500
2012-01-28,8207550
2012-01-29,8214800
2012-01-30,8223150
2012-01-31,8231750
2012-02-01,8239250
2012-02-02,8246300
2012-02-03,8254250
2012-02-04,8262150
2012-02-05,8270000
2012-02-06,8277100
2012-02-07,8284400
2012-02-08,8291250
2012-02-09,8298500
2012-02-10,8305750
2012-02-11,8312650
2012-02-12,8320150
2012-02-13,8328050
2012-02-14,8334900
2012-02-15,8341800
2012-02-16,8348500
2012-02-17,8355400
2012-02-18,8363000
2012-02-19,8371550
2012-02-20,8379450
2012-02-21,8386450
2012-02-22,8392900
2012-02-23,8400850
2012-02-24,8409150
2012-02-25,8416600
2012-02-26,8424850
2012-02-27,8432350
2012-02-28,8440050
2012-02-29,8448050
2012-03-01,8457000
2012-03-02,8464550
2012-03-03,8471250
2012-03-04,8476900
2012-03-05,8483750
2012-03-06,8491000
2012-03-07,8497850
2012-03-08,8505550
2012-03-09,8513350
2012-03-10,8521750
2012-03-11,8530000
2012-03-12,8536700
2012-03-13,8545000
2012-03-14,8553000
2012-03-15,8559850
2012-03-16,8565900
2012-03-17,8573550
2012-03-18,8582050
2012-03-19,8590050
2012-03-20,8597200
2012-03-21,8605200
2012-03-22,8613100
2012-03-23,8621000
2012-03-24,8627300
2012-03-25,8636500
2012-03-26,8644350
2012-03-27,8651900
2012-03-28,8659700
2012-03-29,8667200
2012-03-30,8674250
2012-03-31,8681950
2012-04-01,8690450
2012-04-02,8697550
2012-04-03,8703350
2012-04-04,8710000
2012-04-05,8716850
2012-04-06,8722700
2012-04-07,8729500
2012-04-08,8735950
2012-04-09,8743450
2012-04-10,8750750
2012-04-11,8758100
2012-04-12,8765150
2012-04-13,8771500
2012-04-14,8777650
2012-04-15,8784600
2012-04-16,8789950
2012-04-17,8797450
2012-04-18,8804200
2012-04-19,8810700
2012-04-20,8818550
2012-04-21,8826250
2012-04-22,8833950
2012-04-23,8840950
2012-04-24,8847700
2012-04-25,8854600
2012-04-26,8860950
2012-04-27,8868700
2012-04-28,8875450
2012-04-29,8883050
2012-04-30,8892000
2012-05-01,8900950
2012-05-02,8909450
2012-05-03,8916950
2012-05-04,8924800
2012-05-05,8932850
2012-05-06,8941200
2012-05-07,8949400
2012-05-08,8957900
2012-05-09,8966700
2012-05-10,8975000
2012-05-11,8981450
2012-05-12,8988600
2012-05-13,8995000
2012-05-14,9002000
2012-05-15,9008950
2012-05-16,9015450
2012-05-17,9021500
2012-05-18,9027300
2012-05-19,9034550
2012-05-20,9042000
2012-05-21,9048900
2012-05-22,9055200
2012-05-23,9060950
2012-05-24,9067450
2012-05-25,9073700
2012-05-26,9079750
2012-05-27,9086850
2012-05-28,9094800
2012-05-29,9101900
2012-05-30,9108200
2012-05-31,9114750
2012-06-01,9121650
2012-06-02,9129250
2012-06-03,9137250
2012-06-04,9144900
2012-06-05,9152650
2012-06-06,9160000
2012-06-07,9167650
2012-06-08,9174600
2012-06-09,9181650
2012-06-10,9190200
2012-06-11,9198500
2012-06-12,9205500
2012-06-13,9213300
2012-06-14,9220800
2012-06-15,9228600
2012-06-16,9236550
2012-06-17,9244350
2012-06-18,9252550
2012-06-19,9261300
2012-06-20,9268650
2012-06-21,9275900
2012-06-22,9282700
2012-06-23,9289600
2012-06-24,9297800
2012-06-25,9304350
2012-06-26,9312050
2012-06-27,9319500
2012-06-28,9327650
2012-06-29,9334500
2012-06-30,9341800
2012-07-01,9348400
2012-07-02,9355500
2012-07-03,9363100
2012-07-04,9371100
2012-07-05,9378600
2012-07-06,9385800
2012-07-07,9393550
2012-07-08,9401850
2012-07-09,9409500
2012-07-10,9417650
2012-07-11,9425150
2012-07-12,9431850
2012-07-13,9439350
2012-07-14,9447500
2012-07-15,9455550
2012-07-16,9462550
2012-07-17,9470050
2012-07-18,9478650
