Date,Two-Week Hash Growth
2012-04-24,2.84248
2012-04-25,1.64834
2012-04-26,0.926165
2012-04-27,0.0827331
2012-04-28,-0.701498
2012-04-29,-2.18072
2012-04-30,6.05789
2012-05-01,9.9467
2012-05-02,14.557
2012-05-03,18.2881
2012-05-04,13.9965
2012-05-05,12.9182
2012-05-06,12.6551
2012-05-07,7.60436
2012-05-08,8.35422
2012-05-09,8.60083
2012-05-10,12.7984
2012-05-11,12.1852
2012-05-12,15.3665
2012-05-13,14.4325
2012-05-14,10.5699
2012-05-15,5.76542
2012-05-16,0.92002
2012-05-17,-5.20373
2012-05-18,-6.10209
2012-05-19,-8.02854
2012-05-20,-7.14023
2012-05-21,-6.12706
2012-05-22,-6.6966
2012-05-23,-8.69063
2012-05-24,-10.954
2012-05-25,-10.4109
2012-05-26,-13.963
2012-05-27,-14.3304
2012-05-28,-13.3064
2012-05-29,-12.0912
2012-05-30,-9.93176
2012-05-31,-6.62123
2012-06-01,-3.99602
2012-06-02,-1.10834
2012-06-03,-1.55976
2012-06-04,-1.93707
2012-06-05,0.731262
2012-06-06,4.51012
2012-06-07,5.68421
2012-06-08,5.85926
2012-06-09,8.7071
2012-06-10,12.1268
2012-06-11,12.3847
2012-06-12,10.185
2012-06-13,10.9611
2012-06-14,11.8101
2012-06-15,12.0584
2012-06-16,10.3586
2012-06-17,6.90722
2012-06-18,7.34877
2012-06-19,9.40502
2012-06-20,6.32294
2012-06-21,4.87693
2012-06-22,4.12389
2012-06-23,4.47963
2012-06-24,5.62787
2012-06-25,2.45727
2012-06-26,3.31779
2012-06-27,3.96966
2012-06-28,6.18441
2012-06-29,4.61397
2012-06-30,3.69358
2012-07-01,1.90741
2012-07-02,3.20569
2012-07-03,-0.226493
2012-07-04,1.66835
2012-07-05,-0.13303
2012-07-06,1.45349
2012-07-07,3.35318
2012-07-08,4.78562
2012-07-09,8.10617
2012-07-10,10.1345
2012-07-11,7.8252
2012-07-12,4.38181
2012-07-13,4.86855
2012-07-14,4.84229
2012-07-15,7.65627
2012-07-16,5.20958
2012-07-17,4.12406
2012-07-18,6.28621
2012-07-19,10.5108
2012-07-20,8.93262
2012-07-21,7.24253
2012-07-22,2.61017
2012-07-23,3.70856
2012-07-24,2.47822
2012-07-25,2.12633
2012-07-26,4.16091
2012-07-27,6.96031
2012-07-28,9.13008
2012-07-29,10.8288
2012-07-30,13.2915
2012-07-31,19.8884
2012-08-01,14.3115
2012-08-02,9.78896
2012-08-03,11.4631
