Date,UTXO Set Size
2010-10-03,60451
2010-10-04,60565
2010-10-05,60556
2010-10-06,60610
2010-10-07,60721
2010-10-08,60765
2010-10-09,60673
2010-10-10,60650
2010-10-11,60757
2010-10-12,60832
2010-10-13,60922
2010-10-14,60679
2010-10-15,60770
2010-10-16,60898
2010-10-17,60873
2010-10-18,61036
2010-10-19,61169
2010-10-20,61431
2010-10-21,61620
2010-10-22,61679
2010-10-23,61794
2010-10-24,61956
2010-10-25,62133
2010-10-26,62208
2010-10-27,62413
2010-10-28,62500
2010-10-29,62538
2010-10-30,62558
2010-10-31,62723
2010-11-01,62718
2010-11-02,62839
2010-11-03,62968
2010-11-04,63082
2010-11-05,63128
2010-11-06,63080
2010-11-07,63214
2010-11-08,63338
2010-11-09,62735
2010-11-10,62849
2010-11-11,63003
2010-11-12,63143
2010-11-13,63242
2010-11-14,63325
2010-11-15,63193
2010-11-16,64331
2010-11-17,66833
2010-11-18,66984
2010-11-19,67191
2010-11-20,67225
2010-11-21,67517
2010-11-22,67569
2010-11-23,67679
2010-11-24,67761
2010-11-25,67375
2010-11-26,64588
2010-11-27,64934
2010-11-28,65075
2010-11-29,65362
2010-11-30,65418
2010-12-01,65607
2010-12-02,65648
2010-12-03,65822
2010-12-04,65775
2010-12-05,65924
2010-12-06,66154
2010-12-07,66431
2010-12-08,66521
2010-12-09,66762
2010-12-10,66931
2010-12-11,67082
2010-12-12,67445
2010-12-13,67825
2010-12-14,67652
2010-12-15,67979
2010-12-16,68266
2010-12-17,68470
2010-12-18,68487
2010-12-19,68783
2010-12-20,68795
2010-12-21,69306
2010-12-22,69620
2010-12-23,69899
2010-12-24,70231
2010-12-25,70549
2010-12-26,71009
2010-12-27,71349
2010-12-28,71385
2010-12-29,71767
2010-12-30,71934
2010-12-31,72156
2011-01-01,72468
2011-01-02,72749
2011-01-03,72918
2011-01-04,72833
2011-01-05,73294
2011-01-06,73538
2011-01-07,73711
2011-01-08,74175
2011-01-09,74728
2011-01-10,75117
2011-01-11,75510
2011-01-12,75922
2011-01-13,76311
2011-01-14,76529
2011-01-15,76756
2011-01-16,77115
2011-01-17,77501
2011-01-18,78007
2011-01-19,78340
2011-01-20,78727
2011-01-21,79303
2011-01-22,79668
2011-01-23,79736
2011-01-24,80033
2011-01-25,80558
2011-01-26,81024
2011-01-27,81313
2011-01-28,81662
2011-01-29,82178
2011-01-30,82441
2011-01-31,83032
2011-02-01,83098
2011-02-02,82888
2011-02-03,83098
2011-02-04,83579
2011-02-05,83881
2011-02-06,84187
2011-02-07,84405
2011-02-08,84847
2011-02-09,85255
2011-02-10,85898
2011-02-11,86605
2011-02-12,87845
2011-02-13,88725
2011-02-14,89648
2011-02-15,89842
2011-02-16,91009
2011-02-17,91849
2011-02-18,93030
2011-02-19,93533
