Date,Velocity - Daily
2011-01-19,0.0201137
2011-01-20,0.0114635
2011-01-21,0.0101627
2011-01-22,0.0120107
2011-01-23,0.0127672
2011-01-24,0.0153995
2011-01-25,0.0143295
2011-01-26,0.0092973
2011-01-27,0.0932027
2011-01-28,0.116788
2011-01-29,0.0092287
2011-01-30,0.012364
2011-01-31,0.0820318
2011-02-01,0.0289602
2011-02-02,0.024197
2011-02-03,0.0202616
2011-02-04,0.0113771
2011-02-05,0.0103496
2011-02-06,0.015426
2011-02-07,0.0116426
2011-02-08,0.0290143
2011-02-09,0.0126683
2011-02-10,0.0245242
2011-02-11,0.0407107
2011-02-12,0.0468762
2011-02-13,0.0241153
2011-02-14,0.0191384
2011-02-15,0.0242027
2011-02-16,0.0163649
2011-02-17,0.0115008
2011-02-18,0.0174977
2011-02-19,0.0220089
2011-02-20,0.0356079
2011-02-21,0.0359849
2011-02-22,0.0421784
2011-02-23,0.0668551
2011-02-24,0.0621055
2011-02-25,0.0399005
2011-02-26,0.0316089
2011-02-27,0.0291491
2011-02-28,0.0345274
2011-03-01,0.0220566
2011-03-02,0.186099
2011-03-03,0.436959
2011-03-04,0.0538781
2011-03-05,0.0409746
2011-03-06,0.0229008
2011-03-07,0.0329601
2011-03-08,0.036151
2011-03-09,0.0338227
2011-03-10,0.0431553
2011-03-11,0.0742299
2011-03-12,0.0296516
2011-03-13,0.0275196
2011-03-14,0.0426386
2011-03-15,0.0304425
2011-03-16,0.0210918
2011-03-17,0.0266666
2011-03-18,0.0282284
2011-03-19,0.0316877
2011-03-20,0.0189629
2011-03-21,0.024318
2011-03-22,0.03048
2011-03-23,0.0346403
2011-03-24,0.0412924
2011-03-25,0.0451058
2011-03-26,0.050759
2011-03-27,0.0535871
2011-03-28,0.0257192
2011-03-29,0.0233018
2011-03-30,0.0189803
2011-03-31,0.0208102
2011-04-01,0.0233624
2011-04-02,0.0131952
2011-04-03,0.0166398
2011-04-04,0.0135635
2011-04-05,0.0269837
2011-04-06,0.0185797
2011-04-07,0.0141861
2011-04-08,0.0188765
2011-04-09,0.0227125
2011-04-10,0.0232256
2011-04-11,0.0144485
2011-04-12,0.0160652
2011-04-13,0.022361
2011-04-14,0.0304692
2011-04-15,0.0248824
2011-04-16,0.0213231
2011-04-17,0.0533159
2011-04-18,0.218715
2011-04-19,0.0214946
2011-04-20,0.444611
2011-04-21,0.801762
2011-04-22,0.0725023
2011-04-23,0.0263623
