Date,Avg. UTXO Amount
2011-08-01,9.7259
2011-08-02,9.6296
2011-08-03,9.5858
2011-08-04,9.5682
2011-08-05,9.5233
2011-08-06,9.4265
2011-08-07,9.371
2011-08-08,9.2718
2011-08-09,9.2248
2011-08-10,9.164
2011-08-11,9.1108
2011-08-12,9.065
2011-08-13,9.0386
2011-08-14,8.9882
2011-08-15,8.9117
2011-08-16,8.8947
2011-08-17,8.8522
2011-08-18,8.8149
2011-08-19,8.7335
2011-08-20,8.675
2011-08-21,8.5886
2011-08-22,8.5047
2011-08-23,8.4109
2011-08-24,8.3326
2011-08-25,8.2569
2011-08-26,8.1788
2011-08-27,8.145
2011-08-28,8.094
2011-08-29,8.0274
2011-08-30,7.998
2011-08-31,7.9721
2011-09-01,7.9409
2011-09-02,7.9216
2011-09-03,7.9011
2011-09-04,7.8794
2011-09-05,7.2835
2011-09-06,7.2576
2011-09-07,7.2495
2011-09-08,7.2313
2011-09-09,7.2151
2011-09-10,7.228
2011-09-11,7.2188
2011-09-12,7.2155
2011-09-13,7.211
2011-09-14,7.1979
2011-09-15,7.181
2011-09-16,7.177
2011-09-17,7.1641
2011-09-18,7.1528
2011-09-19,7.1328
2011-09-20,7.1247
2011-09-21,7.103
2011-09-22,7.1088
2011-09-23,7.0706
2011-09-24,7.0176
2011-09-25,6.9676
2011-09-26,6.9126
2011-09-27,6.8715
2011-09-28,6.8338
2011-09-29,6.8185
2011-09-30,6.8076
2011-10-01,6.7985
2011-10-02,6.7902
2011-10-03,6.7815
2011-10-04,6.7704
2011-10-05,6.7657
2011-10-06,6.7575
2011-10-07,6.7489
2011-10-08,6.7397
2011-10-09,6.7308
2011-10-10,6.7238
2011-10-11,6.7118
2011-10-12,6.7061
2011-10-13,6.7023
2011-10-14,6.6957
2011-10-15,6.692
2011-10-16,6.6831
2011-10-17,6.6777
2011-10-18,6.6761
2011-10-19,6.6655
2011-10-20,6.6588
2011-10-21,6.649
2011-10-22,6.6365
2011-10-23,6.6274
2011-10-24,6.6188
2011-10-25,6.6055
2011-10-26,6.5937
2011-10-27,6.5842
2011-10-28,6.5788
2011-10-29,6.5744
2011-10-30,6.5703
2011-10-31,6.5661
2011-11-01,6.5567
2011-11-02,6.5519
2011-11-03,6.5484
2011-11-04,6.5406
2011-11-05,6.5355
2011-11-06,6.5301
2011-11-07,6.5197
2011-11-08,6.5143
2011-11-09,6.5105
2011-11-10,6.5032
2011-11-11,6.4982
2011-11-12,6.4945
2011-11-13,6.4879
2011-11-14,6.4753
2011-11-15,6.4729
2011-11-16,6.4658
2011-11-17,6.4622
2011-11-18,6.4607
2011-11-19,6.4563
2011-11-20,6.4459
2011-11-21,6.4476
2011-11-22,6.4395
2011-11-23,6.4337
2011-11-24,6.4292
2011-11-25,6.4266
2011-11-26,6.4204
2011-11-27,6.4172
2011-11-28,6.4087
2011-11-29,6.4049
2011-11-30,6.4086
2011-12-01,6.4189
2011-12-02,6.4143
2011-12-03,6.4093
2011-12-04,6.4049
2011-12-05,6.398
2011-12-06,6.3889
2011-12-07,6.3819
2011-12-08,6.3805
2011-12-09,6.383
2011-12-10,6.3757
2011-12-11,6.3685
2011-12-12,6.3743
2011-12-13,6.3741
2011-12-14,6.369
2011-12-15,6.3624
2011-12-16,6.3581
2011-12-17,6.3573
2011-12-18,6.3559
2011-12-19,6.3493
2011-12-20,6.3503
2011-12-21,6.3644
2011-12-22,6.361
2011-12-23,6.3537
2011-12-24,6.3447
2011-12-25,6.3396
2011-12-26,6.3325
2011-12-27,6.3258
2011-12-28,6.3254
2011-12-29,6.3218
2011-12-30,6.3187
2011-12-31,6.3126
2012-01-01,6.3182
2012-01-02,6.3248
2012-01-03,6.3361
2012-01-04,6.3424
2012-01-05,6.3497
2012-01-06,6.3633
2012-01-07,6.3787
2012-01-08,6.3871
2012-01-09,6.3895
2012-01-10,6.4035
2012-01-11,6.4297
2012-01-12,6.4499
2012-01-13,6.4508
2012-01-14,6.4442
2012-01-15,6.4357
2012-01-16,6.435
2012-01-17,6.4325
2012-01-18,6.4285
2012-01-19,6.427
2012-01-20,6.4219
2012-01-21,6.4174
2012-01-22,6.4171
2012-01-23,6.4066
2012-01-24,6.3996
2012-01-25,6.3919
2012-01-26,6.3892
2012-01-27,6.386
2012-01-28,6.385
2012-01-29,6.3782
2012-01-30,6.3745
2012-01-31,6.3647
2012-02-01,6.3638
2012-02-02,6.3544
2012-02-03,6.3501
2012-02-04,6.3413
2012-02-05,6.3382
2012-02-06,6.3303
2012-02-07,6.3266
2012-02-08,6.3197
2012-02-09,6.3054
2012-02-10,6.2987
2012-02-11,6.2961
2012-02-12,6.2925
2012-02-13,6.2798
2012-02-14,6.2684
2012-02-15,6.2638
2012-02-16,6.2526
2012-02-17,6.2498
2012-02-18,6.2455
2012-02-19,6.232
2012-02-20,6.2182
2012-02-21,6.2074
2012-02-22,6.2038
2012-02-23,6.1952
2012-02-24,6.1903
2012-02-25,6.1815
2012-02-26,6.1746
2012-02-27,6.1699
2012-02-28,6.1612
2012-02-29,6.1515
2012-03-01,6.141
2012-03-02,6.1431
2012-03-03,6.1415
2012-03-04,6.1305
2012-03-05,6.1148
2012-03-06,6.1085
2012-03-07,6.1046
2012-03-08,6.0919
2012-03-09,6.0801
2012-03-10,6.07
2012-03-11,6.0775
2012-03-12,6.0694
2012-03-13,6.0571
2012-03-14,6.0655
2012-03-15,6.0676
2012-03-16,6.0636
2012-03-17,6.0528
2012-03-18,6.0415
2012-03-19,6.0332
2012-03-20,6.0297
2012-03-21,6.0258
2012-03-22,6.0158
2012-03-23,6.0048
2012-03-24,5.9961
